76303,"(56, 57, 58, 59)","If , if the barriers were down er and you were still on the railway  er th- ah  there 's only way you can escape .","[If/IN, ,/,, if/IN, the/DT, barriers/NNS, were/VBD, down/RB, er/NN, and/CC, you/PRP, were/VBD, still/RB, on/IN, the/DT, railway/NN, er/NN, th-/NN, ah/NN, there/EX, 's/VBZ, only/JJ, way/NN, you/PRP, can/MD, escape/VB, ./.]","(ROOT (S (SBAR (IN If) (, ,) (S (SBAR (IN if) (S (S (NP (DT the) (NNS barriers)) (VP (VBD were) (ADVP (RB down)) (NP (NN er)))) (CC and) (S (NP (PRP you)) (VP (VBD were) (ADVP (RB still)) (PP (IN on) (NP (DT the) (NN railway) (NN er) (NN th-) (NN ah))))))) (NP (EX there)) (VP (VBZ 's) (NP (JJ only) (NN way))))) (NP (PRP you)) (VP (MD can) (VP (VB escape))) (. .)))"
76303,"(60,)",Go round by the barrier pole .,"[Go/VB, round/NN, by/IN, the/DT, barrier/NN, pole/NN, ./.]",(ROOT (S (VP (VB Go) (NP (NN round)) (PP (IN by) (NP (DT the) (NN barrier) (NN pole)))) (. .)))
76303,"(61,)","Well yes , but look at the crossings we 've got in Driffield .","[Well/RB, yes/RB, ,/,, but/CC, look/VB, at/IN, the/DT, crossings/NNS, we/PRP, 've/VBP, got/VBN, in/IN, Driffield/NNP, ./.]","(ROOT (X (X (ADVP (RB Well)) (NP (RB yes))) (, ,) (X (CC but) (S (VP (VB look) (PP (IN at) (NP (NP (DT the) (NNS crossings)) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (PP (IN in) (NP (NNP Driffield)))))))))))) (. .)))"
76303,"(62,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
76303,"(63,)",The barriers,"[The/DT, barriers/NNS]",(ROOT (FRAG (NP (DT The) (NNS barriers))))
76303,"(64,)",Er,[Er/NN],(ROOT (NP (NN Er)))
76303,"(65,)",  .,[./.],(ROOT (NP (. .)))
76303,"(66,)",they 've got full barriers you see .,"[they/PRP, 've/VBP, got/VBN, full/JJ, barriers/NNS, you/PRP, see/VBP, ./.]",(ROOT (S (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (JJ full) (NNS barriers)) (SBAR (S (NP (PRP you)) (VP (VBP see))))))) (. .)))
76303,"(67,)",Full barriers .,"[Full/JJ, barriers/NNS, ./.]",(ROOT (FRAG (NP (JJ Full) (NNS barriers)) (. .)))
76303,"(68,)",Double are safe .,"[Double/RB, are/VBP, safe/JJ, ./.]",(ROOT (S (NP (RB Double)) (VP (VBP are) (ADJP (JJ safe))) (. .)))
76303,"(69, 70)","Well , they 're different because they have them  they 're really controlled by a man in a signal box so they 're","[Well/RB, ,/,, they/PRP, 're/VBP, different/JJ, because/IN, they/PRP, have/VBP, them/PRP, they/PRP, 're/VBP, really/RB, controlled/VBN, by/IN, a/DT, man/NN, in/IN, a/DT, signal/NN, box/NN, so/IN, they/PRP, 're/VBP]","(ROOT (S (ADVP (RB Well)) (, ,) (NP (PRP they)) (VP (VBP 're) (ADJP (JJ different) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP have) (NP (NP (PRP them)) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB really)) (VP (VBN controlled) (PP (IN by) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (DT a) (NN signal) (NN box)))))))))) (SBAR (IN so) (S (NP (PRP they)) (VP (VBP 're)))))))))))"
76303,"(71,)",Yes they are controlled .,"[Yes/UH, they/PRP, are/VBP, controlled/VBN, ./.]",(ROOT (S (S (INTJ (UH Yes)) (NP (PRP they)) (VP (VBP are) (VP (VBN controlled)))) (. .)))
76303,"(72,)",controlled by a television .,"[controlled/VBN, by/IN, a/DT, television/NN, ./.]",(ROOT (S (VP (VBN controlled) (PP (IN by) (NP (DT a) (NN television)))) (. .)))
76303,"(73,)",Er,[Er/NN],(ROOT (NP (NN Er)))
76303,"(74, 75)","If they 're controlled  well dad , everyone knows that one th- the Tackleby 's controlled by a man .","[If/IN, they/PRP, 're/VBP, controlled/VBN, well/RB, dad/NNP, ,/,, everyone/NN, knows/VBZ, that/IN, one/CD, th-/NN, the/DT, Tackleby/NNP, 's/POS, controlled/VBN, by/IN, a/DT, man/NN, ./.]","(ROOT (S (SBAR (IN If) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN controlled) (PP (RB well) (NP (NNP dad))))))) (, ,) (NP (NN everyone)) (VP (VBZ knows) (SBAR (IN that) (FRAG (NP (NP (CD one) (NN th-)) (SBAR (S (NP (DT the) (NNP Tackleby) (POS 's)) (VP (VBN controlled) (PP (IN by) (NP (DT a) (NN man)))))))))) (. .)))"
76303,"(76,)",Oh yes .,"[Oh/UH, yes/UH, ./.]",(ROOT (FRAG (UH Oh) (INTJ (UH yes)) (. .)))
76303,"(77,)",That was good wasn 't it ?,"[That/DT, was/VBD, good/JJ, wasn/NN, 't/PRP, it/PRP, ?/.]",(ROOT (S (NP (DT That)) (VP (VBD was) (S (NP (NP (JJ good) (NN wasn)) (NP (PRP 't))) (NP (PRP it)))) (. ?)))
76303,"(78,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
76303,"(79,)","Yes , you enjoyed that trip into the signal box didn 't you ?","[Yes/UH, ,/,, you/PRP, enjoyed/VBD, that/IN, trip/NN, into/IN, the/DT, signal/NN, box/NN, didn/NN, 't/PRP, you/PRP, ?/.]","(ROOT (S (INTJ (UH Yes)) (, ,) (NP (PRP you)) (VP (VBD enjoyed) (PP (IN that) (NP (NN trip))) (PP (IN into) (NP (DT the) (NN signal) (NN box) (NN didn))) (X (NP (NP (PRP 't)) (NP (PRP you))))) (. ?)))"
76303,"(80,)",Oh yes .,"[Oh/UH, yes/UH, ./.]",(ROOT (FRAG (UH Oh) (INTJ (UH yes)) (. .)))
76303,"(81, 82)",But  though it was rather dangerous .,"[But/CC, though/IN, it/PRP, was/VBD, rather/RB, dangerous/JJ, ./.]",(ROOT (FRAG (CC But) (SBAR (IN though) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB rather) (JJ dangerous))))) (. .)))
76303,"(83, 84)","After all in my , you know my er  people working on the rails book ?","[After/IN, all/DT, in/IN, my/PRP$, ,/,, you/PRP, know/VBP, my/PRP$, er/NN, people/NNS, working/VBG, on/IN, the/DT, rails/NNS, book/NN, ?/.]","(ROOT (S (PP (IN After) (NP (NP (DT all)) (PP (IN in) (NP (PRP$ my))))) (, ,) (NP (PRP you)) (VP (VBP know) (NP (PRP$ my) (NN er) (NNS people)) (S (VP (VBG working) (PP (IN on) (NP (DT the) (NNS rails) (NN book)))))) (. ?)))"
76303,"(85,)",The one,"[The/DT, one/CD]",(ROOT (X (NP (DT The) (CD one))))
76303,"(86,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
76303,"(87,)",  .,[./.],(ROOT (NP (. .)))
76303,"(88,)","It says , you must never try to steer ru- steer round a bu- barrier poles .","[It/PRP, says/VBZ, ,/,, you/PRP, must/MD, never/RB, try/VB, to/TO, steer/VB, ru-/NN, steer/VB, round/NN, a/DT, bu-/JJ, barrier/NN, poles/NNPS, ./.]","(ROOT (S (S (NP (PRP It)) (VP (VBZ says))) (, ,) (NP (PRP you)) (VP (MD must) (ADVP (RB never)) (VP (VB try) (S (VP (TO to) (VP (VB steer) (S (NP (NN ru-)) (VP (VB steer) (S (NP (NN round)) (NP (NP (DT a) (JJ bu-) (NN barrier)) (NP (NNPS poles))))))))))) (. .)))"
76303,"(89,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
76303,"(90, 91, 92)","And they 're trying to take away as many er  possible erm , mainly one barrier er  railway gates as possible .","[And/CC, they/PRP, 're/VBP, trying/VBG, to/TO, take/VB, away/RP, as/IN, many/JJ, er/NN, possible/JJ, erm/NN, ,/,, mainly/RB, one/CD, barrier/NN, er/NN, railway/NN, gates/NNS, as/IN, possible/JJ, ./.]","(ROOT (S (CC And) (NP (PRP they)) (VP (VBP 're) (VP (VBG trying) (S (VP (TO to) (VP (VB take) (PRT (RP away)) (PP (IN as) (NP (JJ many) (NN er))) (NP (NP (JJ possible) (NN erm)) (, ,) (RB mainly) (NP (NP (CD one) (NN barrier) (NN er) (NN railway) (NNS gates)) (PP (IN as) (ADJP (JJ possible)))))))))) (. .)))"
76303,"(93,)",Well I didn 't know they were trying to get rid of those .,"[Well/RB, I/PRP, didn/VBP, 't/PRP, know/VB, they/PRP, were/VBD, trying/VBG, to/TO, get/VB, rid/JJ, of/IN, those/DT, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB know) (SBAR (S (NP (PRP they)) (VP (VBD were) (VP (VBG trying) (S (VP (TO to) (VP (VB get) (ADJP (JJ rid)) (PP (IN of) (NP (DT those))))))))))))) (. .)))
76303,"(94,)",Especially on busy main roads .,"[Especially/RB, on/IN, busy/JJ, main/JJ, roads/NNS, ./.]",(ROOT (FRAG (PP (ADVP (RB Especially)) (IN on) (NP (JJ busy) (JJ main) (NNS roads))) (. .)))
