4601,"(34,)","It ran almost up to Mary-Lou before she saw it , she let the desk lid with a terrific bang and gave a heart rendering scream .","[It/PRP, ran/VBD, almost/RB, up/RB, to/TO, Mary-Lou/NN, before/IN, she/PRP, saw/VBD, it/PRP, ,/,, she/PRP, let/VBD, the/DT, desk/NN, lid/NN, with/IN, a/DT, terrific/JJ, bang/NN, and/CC, gave/VBD, a/DT, heart/NN, rendering/VBG, scream/NN, ./.]","(ROOT (S (S (NP (PRP It)) (VP (VBD ran) (ADVP (RB almost) (RB up)) (PP (TO to) (NP (NN Mary-Lou))) (SBAR (IN before) (S (NP (PRP she)) (VP (VBD saw) (NP (PRP it))))))) (, ,) (NP (PRP she)) (VP (VP (VBD let) (NP (DT the) (NN desk) (NN lid)) (PP (IN with) (NP (DT a) (JJ terrific) (NN bang)))) (CC and) (VP (VBD gave) (NP (DT a) (NN heart)) (S (VP (VBG rendering) (NP (NN scream)))))) (. .)))"
4601,"(35,)","Everyone jumped in alarm , Mademoiselle leapt to her feet sending a pile of books clattering from her desk to the floor she glared at Mary-Lou","[Everyone/NN, jumped/VBD, in/IN, alarm/NN, ,/,, Mademoiselle/NNP, leapt/VBD, to/TO, her/PRP$, feet/NNS, sending/VBG, a/DT, pile/NN, of/IN, books/NNS, clattering/VBG, from/IN, her/PRP$, desk/NN, to/TO, the/DT, floor/NN, she/PRP, glared/VBD, at/IN, Mary-Lou/NNP]","(ROOT (S (NP (NN Everyone)) (VP (VBD jumped) (SBAR (S (PP (IN in) (NP (NN alarm))) (, ,) (NP (NNP Mademoiselle)) (VP (VBD leapt) (PP (TO to) (NP (PRP$ her) (NNS feet))) (S (VP (VBG sending) (NP (NP (DT a) (NN pile)) (PP (IN of) (NP (NP (NNS books)) (VP (VBG clattering) (PP (IN from) (NP (PRP$ her) (NN desk))) (PP (TO to) (NP (NP (DT the) (NN floor)) (SBAR (S (NP (PRP she)) (VP (VBD glared) (PP (IN at) (NP (NNP Mary-Lou))))))))))))))))))))"
4601,"(36,)",,[],X
4601,"(37,)"," what is this noise , Mary-Lou have you gone mad ?","[what/WP, is/VBZ, this/DT, noise/NN, ,/,, Mary-Lou/NNP, have/VBP, you/PRP, gone/VBN, mad/JJ, ?/.]","(ROOT (SBARQ (WHNP (WP what)) (SQ (SQ (VBZ is) (NP (NP (DT this) (NN noise)) (, ,) (NP (NNP Mary-Lou)))) (SQ (VBP have) (NP (PRP you)) (VP (VBN gone))) (FRAG (ADJP (JJ mad)))) (. ?)))"
4601,"(38,)","Mary-Lou couldn 't speak , the sight of the enormous spider apparently running straight at her had completely undone her .","[Mary-Lou/NNP, couldn/NNP, 't/PRP, speak/VBP, ,/,, the/DT, sight/NN, of/IN, the/DT, enormous/JJ, spider/NN, apparently/RB, running/VBG, straight/RB, at/IN, her/PRP$, had/VBD, completely/RB, undone/VBN, her/PRP, ./.]","(ROOT (S (NP (NP (NNP Mary-Lou) (NNP couldn)) (SBAR (S (NP (PRP 't)) (VP (VBP speak) (, ,) (S (NP (NP (DT the) (NN sight)) (PP (IN of) (NP (DT the) (JJ enormous) (NN spider)))) (VP (ADVP (RB apparently)) (VBG running) (ADVP (RB straight)) (PP (IN at) (NP (PRP$ her))))))))) (VP (VBD had) (ADVP (RB completely)) (VP (VBN undone) (NP (PRP her)))) (. .)))"
4601,"(39,)",She scraped her chair away from her desk and stared at it as if she expected the spider to jump through the lid .,"[She/PRP, scraped/VBD, her/PRP$, chair/NN, away/RB, from/IN, her/PRP$, desk/NN, and/CC, stared/VBD, at/IN, it/PRP, as/IN, if/IN, she/PRP, expected/VBD, the/DT, spider/NN, to/TO, jump/VB, through/IN, the/DT, lid/NN, ./.]",(ROOT (S (NP (PRP She)) (VP (VP (VBD scraped) (NP (PRP$ her) (NN chair)) (PRT (RB away)) (PP (IN from) (NP (PRP$ her) (NN desk)))) (CC and) (VP (VBD stared) (PP (IN at) (NP (PRP it))) (SBAR (IN as) (IN if) (S (NP (PRP she)) (VP (VBD expected) (NP (DT the) (NN spider) (S (VP (TO to) (VP (VB jump) (PP (IN through) (NP (DT the) (NN lid)))))))))))) (. .)))
4601,"(40,)",Mary-Lou !,"[Mary-Lou/NNP, !/.]",(ROOT (FRAG (NP (NNP Mary-Lou)) (. !)))
4601,"(41,)","Thundered Mademoiselle , tell me what is the matter with you , I demand it ?","[Thundered/VBD, Mademoiselle/NNP, ,/,, tell/VB, me/PRP, what/WP, is/VBZ, the/DT, matter/NN, with/IN, you/PRP, ,/,, I/PRP, demand/VBP, it/PRP, ?/.]","(ROOT (S (S (VP (VBD Thundered) (NP (NNP Mademoiselle)) (, ,) (S (VP (VB tell) (NP (PRP me)) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (NP (NP (DT the) (NN matter)) (PP (IN with) (NP (PRP you))))))))))) (, ,) (NP (PRP I)) (VP (VBP demand) (NP (PRP it))) (. ?)))"
4601,"(42, 43)","Oh , Mademoiselle there 's a , there 's a simply enormous giant spider in my desk   leave it alone , you 'll just knock it off   stammered Mary-Lou quite pale .","[Oh/UH, ,/,, Mademoiselle/NNP, there/EX, 's/VBZ, a/DT, ,/,, there/EX, 's/VBZ, a/DT, simply/RB, enormous/JJ, giant/JJ, spider/NN, in/IN, my/PRP$, desk/NN, leave/VB, it/PRP, alone/RB, ,/,, you/PRP, 'll/MD, just/RB, knock/VB, it/PRP, off/RP, stammered/VBD, Mary-Lou/NNP, quite/RB, pale/JJ, ./.]","(ROOT (S (INTJ (UH Oh)) (, ,) (NP (NP (NNP Mademoiselle)) (SBAR (S (S (NP (EX there)) (VP (VBZ 's) (NP (DT a)))) (, ,) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (ADJP (RB simply) (JJ enormous)) (JJ giant) (NN spider)) (PP (IN in) (NP (PRP$ my) (NN desk) (S (VP (VB leave) (S (NP (PRP it)) (ADJP (RB alone)))))))))) (, ,) (S (NP (PRP you)) (VP (MD 'll) (ADVP (RB just)) (VP (VB knock) (NP (PRP it)) (PRT (RP off)))))))) (VP (VBD stammered) (S (NP (NNP Mary-Lou)) (ADJP (RB quite) (JJ pale)))) (. .)))"
4601,"(44,)",A spider !,"[A/DT, spider/NN, !/.]",(ROOT (NP (DT A) (NN spider) (. !)))
