45501,"(77, 78, 79)",They    U D A  according to the T V .,"[They/PRP, U/NNP, D/NNP, A/DT, according/VBG, to/TO, the/DT, T/NN, V/NN, ./.]",(ROOT (NP (NP (NP (PRP They)) (NNP U)) (NP (NP (NNP D) (DT A)) (PP (VBG according) (PP (TO to) (NP (DT the) (NN T) (NN V))))) (. .)))
45501,"(80,)",What   ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
45501,"(81, 82, 83, 84, 85)","Well they 're keeping an open mind about it  yeah but skin you     I suppose he his , I have all   .","[Well/RB, they/PRP, 're/VBP, keeping/VBG, an/DT, open/JJ, mind/NN, about/IN, it/PRP, yeah/UH, but/CC, skin/NN, you/PRP, I/PRP, suppose/VBP, he/PRP, his/PRP$, ,/,, I/PRP, have/VBP, all/DT, ./.]","(ROOT (S (ADVP (RB Well)) (NP (PRP they)) (VP (VBP 're) (VP (VP (VBG keeping) (NP (NP (DT an) (JJ open) (NN mind)) (PP (IN about) (NP (NP (PRP it)) (FRAG (INTJ (UH yeah))))))) (CC but) (VP (NP (NP (NN skin)) (SBAR (S (NP (PRP you)) (PRN (S (NP (PRP I)) (VP (VBP suppose) (S (NP (PRP he)) (NP (PRP$ his))))) (, ,)) (NP (PRP I)) (VP (VBP have) (NP (DT all))))))))) (. .)))"
45501,"(86, 87, 88)",Jean  I 'd fucking do it to you !,"[Jean/NNP, I/PRP, 'd/MD, fucking/VBG, do/VBP, it/PRP, to/TO, you/PRP, !/.]",(ROOT (S (NP (NP (NNP Jean)) (SBAR (S (NP (PRP I)) (VP (MD 'd) (S (VP (VBG fucking))))))) (VP (VBP do) (NP (PRP it)) (PP (TO to) (NP (PRP you)))) (. !)))
45501,"(89,)",,[],X
45501,"(90,)",No but ,"[No/DT, but/CC]",(ROOT (FRAG (NP (NP (DT No)) (ADVP (CC but)))))
45501,"(91,)","I know , why ?","[I/PRP, know/VBP, ,/,, why/WRB, ?/.]","(ROOT (S (S (NP (PRP I)) (VP (VBP know))) (, ,) (FRAG (WHADVP (WRB why))) (. ?)))"
45501,"(92,)",Raymond,[Raymond/NNP],(ROOT (NP (NNP Raymond)))
45501,"(93,)",I mean,"[I/PRP, mean/VBP]",(ROOT (S (NP (PRP I)) (VP (VBP mean))))
45501,"(94,)",won 't speak to you if you ,"[won/VBN, 't/PRP, speak/VBP, to/TO, you/PRP, if/IN, you/PRP]",(ROOT (VP (VBN won) (SBAR (S (NP (PRP 't)) (VP (VBP speak) (PP (TO to) (NP (PRP you))) (PP (IN if) (NP (PRP you))))))))
45501,"(95, 96, 97)","You 've been in bed for eight o 'clock last night  it 's now nine  what 's that , thirteen odd hours ?","[You/PRP, 've/VBP, been/VBN, in/IN, bed/NN, for/IN, eight/CD, o/NN, 'clock/NN, last/JJ, night/NN, it/PRP, 's/VBZ, now/RB, nine/CD, what/WP, 's/VBZ, that/DT, ,/,, thirteen/CD, odd/JJ, hours/NNS, ?/.]","(ROOT (S (S (NP (PRP You)) (VP (VBP 've) (VP (VBN been) (PP (IN in) (NP (NP (NN bed)) (PP (IN for) (NP (CD eight) (NN o) (NN 'clock))))) (NP (JJ last) (NN night))))) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB now)) (NP (NP (CD nine)) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (NP (NP (DT that)) (, ,) (NP (CD thirteen) (JJ odd) (NNS hours)))))))) (. ?)))"
45501,"(98,)",Ask me the time I was up at ?,"[Ask/VB, me/PRP, the/DT, time/NN, I/PRP, was/VBD, up/RB, at/IN, ?/.]",(ROOT (SQ (VP (VB Ask) (NP (PRP me)) (NP (DT the) (NN time)) (SBAR (S (NP (PRP I)) (VP (VBD was) (ADVP (RB up) (IN at)))))) (. ?)))
45501,"(99,)",You could lie in actually .,"[You/PRP, could/MD, lie/VB, in/IN, actually/RB, ./.]",(ROOT (S (NP (PRP You)) (VP (MD could) (VP (VB lie) (PP (IN in) (ADVP (RB actually))))) (. .)))
