40906,"(38,)","He 's got the little loop aerials at the back of portables , you know the","[He/PRP, 's/VBZ, got/VBD, the/DT, little/JJ, loop/NN, aerials/NNS, at/IN, the/DT, back/NN, of/IN, portables/NNS, ,/,, you/PRP, know/VBP, the/DT]","(ROOT (NP (S (S (NP (PRP He)) (VP (VBZ 's) (VP (VBD got) (NP (DT the) (JJ little) (NN loop) (NNS aerials)) (PP (IN at) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (NNS portables)))))))) (, ,) (NP (PRP you)) (VP (VBP know) (NP (DT the))))))"
40906,"(39,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
40906,"(40, 41, 42)"," for twenty five pence each    He can do the er , if they 've got any three thousand chassis    for us if we want any .","[for/IN, twenty/CD, five/CD, pence/NNS, each/DT, He/PRP, can/MD, do/VB, the/DT, er/NN, ,/,, if/IN, they/PRP, 've/VBP, got/VBN, any/DT, three/CD, thousand/CD, chassis/NN, for/IN, us/PRP, if/IN, we/PRP, want/VBP, any/DT, ./.]","(ROOT (S (PP (IN for) (NP (NP (CD twenty) (CD five) (NNS pence)) (NP (DT each)))) (NP (PRP He)) (VP (MD can) (VP (VB do) (NP (DT the) (NN er)) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (DT any) (ADJP (QP (CD three) (CD thousand))) (NN chassis)) (PP (IN for) (NP (PRP us)))) (SBAR (IN if) (S (NP (PRP we)) (VP (VBP want) (NP (DT any))))))))))) (. .)))"
40906,"(43,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
40906,"(44,)",If you come across it .,"[If/IN, you/PRP, come/VBP, across/IN, it/PRP, ./.]",(ROOT (FRAG (SBAR (IN If) (S (NP (PRP you)) (VP (VBP come) (PP (IN across) (NP (PRP it)))))) (. .)))
40906,"(45, 46)","Oh the Toshiba , the Toshiba   transformers , that 's what he 's got a  good range of and he 's written down","[Oh/UH, the/DT, Toshiba/NNP, ,/,, the/DT, Toshiba/NNP, transformers/NNPS, ,/,, that/DT, 's/VBZ, what/WP, he/PRP, 's/VBZ, got/VBD, a/DT, good/JJ, range/NN, of/IN, and/CC, he/PRP, 's/VBZ, written/VBN, down/RP]","(ROOT (NP (S (S (INTJ (UH Oh)) (NP (DT the) (NNP Toshiba)) (VP (VP (PRN (, ,) (S (NP (DT the) (NNP Toshiba) (NNPS transformers)) (, ,) (NP (DT that)) (VP (VBZ 's) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBZ 's))))))) (VBD got) (NP (DT a) (ADJP (JJ good)))) (NP (NP (NN range)) (PP (IN of))))) (CC and) (S (NP (PRP he)) (VP (VBZ 's) (VP (VBN written) (PRT (RP down))))))))"
40906,"(47,)",Has he ?,"[Has/VBZ, he/PRP, ?/.]",(ROOT (S (VP (VBZ Has) (NP (PRP he))) (. ?)))
40906,"(48,)",the model numbers here as well .,"[the/DT, model/NN, numbers/NNS, here/RB, as/RB, well/RB, ./.]",(ROOT (S (NP (DT the) (NN model) (NNS numbers)) (VP (ADVP (RB here) (RB as) (RB well))) (. .)))
40906,"(49,)",Oh very good .,"[Oh/UH, very/RB, good/JJ, ./.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (RB very) (JJ good)))) (. .)))
40906,"(50, 51)",Is it on  the fax coming through ?,"[Is/VBZ, it/PRP, on/IN, the/DT, fax/NN, coming/VBG, through/IN, ?/.]",(ROOT (SQ (VBZ Is) (NP (NP (PRP it)) (PP (IN on) (NP (DT the) (NN fax)))) (VP (VBG coming) (PP (IN through))) (. ?)))
40906,"(52,)",That 's   transformers there .,"[That/DT, 's/VBZ, transformers/NNPS, there/EX, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (S (NP (NNPS transformers)) (NP (EX there)))) (. .)))
40906,"(53,)","Two five five seven B   it is , yeah .","[Two/CD, five/CD, five/CD, seven/CD, B/NN, it/PRP, is/VBZ, ,/,, yeah/UH, ./.]","(ROOT (NP (NP (NP (CD Two) (CD five)) (NP (QP (CD five) (CD seven)) (NN B))) (SBAR (S (NP (PRP it)) (VP (VBZ is) (, ,) (NP (UH yeah))))) (. .)))"
40906,"(54, 55)", seven B that 's the erm    innit ?,"[seven/CD, B/NN, that/WDT, 's/VBZ, the/DT, erm/NN, innit/NN, ?/.]",(ROOT (FRAG (NP (NP (CD seven) (NN B)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (NP (DT the) (NN erm) (NN innit)))))) (. ?)))
40906,"(56,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
40906,"(57,)",,[],X
40906,"(58,)",What 's the price of these ?,"[What/WP, 's/VBZ, the/DT, price/NN, of/IN, these/DT, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (NP (NP (DT the) (NN price)) (PP (IN of) (NP (DT these))))) (. ?)))
40906,"(59,)",Hasn 't it got a price on them ?,"[Hasn/NNP, 't/PRP, it/PRP, got/VBD, a/DT, price/NN, on/IN, them/PRP, ?/.]",(ROOT (S (NP (NNP Hasn) (PRP 't)) (NP (PRP it)) (VP (VBD got) (NP (DT a) (NN price)) (PP (IN on) (NP (PRP them)))) (. ?)))
40906,"(60,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
40906,"(61,)",Do you want me to find out ?,"[Do/VB, you/PRP, want/VB, me/PRP, to/TO, find/VB, out/RP, ?/.]",(ROOT (SQ (VP (VB Do) (S (NP (PRP you)) (VP (VB want) (S (NP (PRP me)) (VP (TO to) (VP (VB find) (PRT (RP out)))))))) (. ?)))
40906,"(62,)","No it 's alright , no .","[No/DT, it/PRP, 's/VBZ, alright/JJ, ,/,, no/DT, ./.]","(ROOT (S (NP (DT No) (PRP it)) (VP (VBZ 's) (ADJP (JJ alright)) (, ,) (ADVP (DT no))) (. .)))"
40906,"(63, 64, 65)","Loads of speakers    but er  The nine three eight four , which one 's that ?","[Loads/NNS, of/IN, speakers/NNS, but/CC, er/NN, The/DT, nine/CD, three/CD, eight/CD, four/CD, ,/,, which/WDT, one/PRP, 's/VBZ, that/IN, ?/.]","(ROOT (NP (NP (NNS Loads)) (PP (IN of) (NP (NP (NNS speakers)) (PP (CC but) (NP (NP (NP (NN er)) (NP (DT The) (QP (CD nine) (CD three)) (QP (CD eight) (CD four)))) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP one)) (VP (VBZ 's) (ADJP (IN that))))))))) (. ?)))"
