71101,"(45,)","Tt , I probably could , but I don 't think it , it would go down very well with the students","[Tt/NN, ,/,, I/PRP, probably/RB, could/MD, ,/,, but/CC, I/PRP, don/VBP, 't/PRP, think/VB, it/PRP, ,/,, it/PRP, would/MD, go/VB, down/RB, very/RB, well/RB, with/IN, the/DT, students/NNS]","(ROOT (FRAG (NP (NP (NN Tt)) (SBAR (S (, ,) (S (S (NP (PRP I)) (ADVP (RB probably)) (VP (MD could))) (, ,) (CC but) (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (NP (PRP it))))))) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB go) (ADVP (RB down) (RB very) (RB well)) (PP (IN with) (NP (DT the) (NNS students))))))))))"
71101,"(46, 47, 48)","Well they can 't have it both ways  if they can afford to save money they can , but if they don 't , then stay in the centre    ","[Well/RB, they/PRP, can/MD, 't/PRP, have/VB, it/PRP, both/DT, ways/NNS, if/IN, they/PRP, can/MD, afford/VB, to/TO, save/VB, money/NN, they/PRP, can/MD, ,/,, but/CC, if/IN, they/PRP, don/VBP, 't/PRP, ,/,, then/RB, stay/VB, in/IN, the/DT, centre/NN]","(ROOT (X (X (ADVP (RB Well)) (NP (PRP they))) (NP (SQ (MD can) (NP (PRP 't)) (VP (VB have) (S (NP (PRP it)) (NP (DT both) (NNS ways)) (SBAR (IN if) (S (NP (PRP they)) (VP (MD can) (VP (VB afford) (S (VP (TO to) (VP (VB save) (NP (NN money)) (SBAR (SBAR (S (NP (PRP they)) (VP (MD can)))) (, ,) (CC but) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP don) (NP (PRP 't)) (, ,) (ADVP (RB then)))))))))))))))) (VP (VB stay) (PP (IN in) (NP (DT the) (NN centre)))))))"
71101,"(49,)","I couldn 't stay in the centre , there wasn 't space in the centre","[I/PRP, couldn/VBP, 't/PRP, stay/VB, in/IN, the/DT, centre/NN, ,/,, there/EX, wasn/VBP, 't/PRP, space/NN, in/IN, the/DT, centre/NN]","(ROOT (S (NP (PRP I)) (VP (VBP couldn) (S (NP (PRP 't)) (VP (VB stay) (SBAR (S (PP (IN in) (NP (DT the) (NN centre))) (, ,) (NP (EX there)) (VP (VBP wasn) (S (NP (PRP 't)) (NP (NP (NN space)) (PP (IN in) (NP (DT the) (NN centre)))))))))))))"
71101,"(50,)",Oh,[Oh/UH],(ROOT (INTJ (UH Oh)))
71101,"(51,)",erm,[erm/NN],(ROOT (NP (NN erm)))
71101,"(52,)",will they have the er big llamas and the snakes will they ?,"[will/MD, they/PRP, have/VB, the/DT, er/NN, big/JJ, llamas/NNS, and/CC, the/DT, snakes/NNS, will/MD, they/PRP, ?/.]",(ROOT (SQ (MD will) (NP (PRP they)) (VP (VB have) (NP (NP (DT the) (NN er)) (SBAR (S (NP (NP (JJ big) (NNS llamas)) (CC and) (NP (DT the) (NNS snakes))) (VP (MD will) (VP (NP (PRP they)))))))) (. ?)))
71101,"(53,)","Yes , so","[Yes/UH, ,/,, so/RB]","(ROOT (FRAG (INTJ (UH Yes)) (, ,) (ADVP (RB so))))"
71101,"(54,)",Hey it 's a sheep,"[Hey/UH, it/PRP, 's/VBZ, a/DT, sheep/NN]",(ROOT (SINV (FRAG (INTJ (UH Hey))) (VP (ADVP (PRP it)) (VP (VBZ 's))) (NP (DT a) (NN sheep))))
71101,"(55,)","so , having an early start the following morning , we 're going to be at er Lane Head for half nine so go and see Martin , tt","[so/RB, ,/,, having/VBG, an/DT, early/JJ, start/NN, the/DT, following/VBG, morning/NN, ,/,, we/PRP, 're/VBP, going/VBG, to/TO, be/VB, at/IN, er/NN, Lane/NN, Head/NN, for/IN, half/NN, nine/CD, so/RB, go/VB, and/CC, see/VB, Martin/NNP, ,/,, tt/NN]","(ROOT (FRAG (S (RB so) (VP (VP (, ,) (S (VP (VBG having) (S (NP (DT an) (JJ early) (NN start)) (NP (DT the) (VBG following) (NN morning)))))) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VP (VB be) (PP (IN at) (NP (NP (NN er) (NN Lane) (NN Head)) (PP (IN for) (NP (NN half) (CD nine))))) (PP (RB so) (ADJP (VB go)))) (CC and) (VP (VB see) (NP (NP (NNP Martin)) (, ,) (NP (NN tt)))))))))))))))"
71101,"(56,)","Er , where 's his wife , is she still in Shropshire ?","[Er/NN, ,/,, where/WRB, 's/POS, his/PRP$, wife/NN, ,/,, is/VBZ, she/PRP, still/RB, in/IN, Shropshire/NNP, ?/.]","(ROOT (S (NP (NP (NN Er)) (, ,) (NP (NP (WRB where) (POS 's)) (NP (PRP$ his) (NN wife))) (, ,)) (VP (VBZ is) (NP (PRP she)) (ADVP (RB still)) (PP (IN in) (NP (NNP Shropshire)))) (. ?)))"
71101,"(57,)","She 's running the Duke of Edinburgh award scheme for Wales , she 's down in Brecon","[She/PRP, 's/VBZ, running/VBG, the/DT, Duke/NNP, of/IN, Edinburgh/NNP, award/NN, scheme/NN, for/IN, Wales/NNP, ,/,, she/PRP, 's/VBZ, down/RB, in/IN, Brecon/NN]","(ROOT (S (NP (PRP She)) (VP (VBZ 's) (VP (VBG running) (NP (NP (DT the) (NNP Duke)) (PP (IN of) (NP (NNP Edinburgh) (NN award) (NN scheme))) (PP (IN for) (NP (NNP Wales))) (, ,) (SBAR (S (NP (PRP she)) (VP (VBZ 's) (ADVP (RB down)) (PP (IN in) (NP (NN Brecon)))))))))))"
71101,"(58,)",Surely he was closer,"[Surely/RB, he/PRP, was/VBD, closer/RBR]",(ROOT (FRAG (ADVP (RB Surely)) (NP (NP (PRP he)) (SBAR (S (VP (VBD was) (ADVP (RBR closer))))))))
71101,"(59,)",the kids are at school in Brecon,"[the/DT, kids/NNS, are/VBP, at/IN, school/NN, in/IN, Brecon/NNP]",(ROOT (S (NP (DT the) (NNS kids)) (VP (VBP are) (PP (IN at) (NP (NP (NN school)) (PP (IN in) (NP (NNP Brecon))))))))
