18905,"(64,)",You got any more ?,"[You/PRP, got/VBD, any/DT, more/JJR, ?/.]",(ROOT (S (NP (PRP You)) (VP (VBD got) (ADVP (DT any) (JJR more))) (. ?)))
18905,"(65,)","No , there 's a packet in my bag .","[No/DT, ,/,, there/EX, 's/VBZ, a/DT, packet/NN, in/IN, my/PRP$, bag/NN, ./.]","(ROOT (S (NP (DT No)) (, ,) (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (NN packet)) (PP (IN in) (NP (PRP$ my) (NN bag))))) (. .)))"
18905,"(66,)",Oh is there ?,"[Oh/UH, is/VBZ, there/EX, ?/.]",(ROOT (SBARQ (WHNP (UH Oh)) (SQ (VBZ is) (NP (EX there))) (. ?)))
18905,"(67,)","A whole packet , yeah .","[A/DT, whole/JJ, packet/NN, ,/,, yeah/UH, ./.]","(ROOT (NP (NP (NP (DT A) (JJ whole)) (VP (PP (NN packet)) (, ,) (NP (UH yeah)))) (. .)))"
18905,"(68,)",That 's alright then .,"[That/DT, 's/VBZ, alright/JJ, then/RB, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ alright)) (ADVP (RB then))) (. .)))
18905,"(69,)",My bag   the weekend in case you were in trouble .,"[My/PRP$, bag/NN, the/DT, weekend/NN, in/IN, case/NN, you/PRP, were/VBD, in/IN, trouble/NN, ./.]",(ROOT (S (NP (PRP$ My) (NN bag)) (NP (DT the) (NN weekend)) (PP (IN in) (NP (NN case))) (NP (PRP you)) (VP (VBD were) (PP (IN in) (NP (NN trouble)))) (. .)))
18905,"(70, 71, 72)","That 's fine then  good  should have enough for weekend until , until the weekend .","[That/DT, 's/VBZ, fine/JJ, then/RB, good/JJ, should/MD, have/VB, enough/RB, for/IN, weekend/NN, until/IN, ,/,, until/IN, the/DT, weekend/NN, ./.]","(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ fine) (SBAR (S (NP (RB then) (JJ good)) (VP (MD should) (VP (VB have) (NP (NP (RB enough)) (PP (IN for) (NP (NN weekend)))) (PP (IN until)) (, ,) (PP (IN until) (NP (DT the) (NN weekend))))))))) (. .)))"
18905,"(73, 74)","I 'll have them on Friday , if necessary  but Thursday I   get you a packet down .","[I/PRP, 'll/MD, have/VB, them/PRP, on/IN, Friday/NNP, ,/,, if/IN, necessary/JJ, but/CC, Thursday/NNP, I/PRP, get/VBP, you/PRP, a/DT, packet/NN, down/RB, ./.]","(ROOT (S (S (NP (PRP I)) (VP (MD 'll) (VP (VB have) (NP (PRP them)) (PP (IN on) (NP (NP (NNP Friday)) (, ,) (SBAR (IN if) (FRAG (JJ necessary)))))))) (CC but) (S (NP (NNP Thursday)) (NP (PRP I)) (VP (VBP get) (NP (PRP you)) (ADVP (NP (DT a) (NN packet)) (RB down)))) (. .)))"
18905,"(75, 76)",Oh yeah    Pardon me !,"[Oh/UH, yeah/UH, Pardon/NN, me/PRP, !/.]",(ROOT (FRAG (INTJ (UH Oh) (UH yeah)) (NN Pardon) (NP (PRP me)) (. !)))
18905,"(77, 78)",That should be alright  Yeah we 've got to go up town Thursday haven 't we ?,"[That/DT, should/MD, be/VB, alright/JJ, Yeah/UH, we/PRP, 've/VBP, got/VBN, to/TO, go/VB, up/RP, town/NN, Thursday/NNP, haven/NNP, 't/PRP, we/PRP, ?/.]",(ROOT (S (NP (NP (DT That)) (SBAR (S (VP (MD should) (VP (VB be) (ADJP (JJ alright) (SBAR (S (INTJ (UH Yeah)) (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (S (VP (TO to) (VP (VB go) (PRT (RP up)) (NP (NN town)) (NP (NNP Thursday))))))))))))))) (VP (NNP haven) (S (NP (PRP 't)) (NP (PRP we)))) (. ?)))
18905,"(79, 80)","Yes , I know  We 're going to be investigating some carpet shops while you 're signing on the dotted line , won 't need me   in there now will you ?","[Yes/UH, ,/,, I/PRP, know/VBP, We/PRP, 're/VBP, going/VBG, to/TO, be/VB, investigating/VBG, some/DT, carpet/NN, shops/NNS, while/IN, you/PRP, 're/VBP, signing/VBG, on/IN, the/DT, dotted/VBN, line/NN, ,/,, won/VBD, 't/PRP, need/VB, me/PRP, in/IN, there/RB, now/RB, will/MD, you/PRP, ?/.]","(ROOT (S (S (INTJ (UH Yes)) (, ,) (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP We)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBG investigating) (NP (DT some) (NN carpet) (NNS shops)) (SBAR (IN while) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG signing) (PP (IN on) (NP (DT the) (VBN dotted) (NN line))))))))))))))))) (, ,) (VP (VBD won) (S (NP (PRP 't)) (VP (VB need) (SBAR (S (NP (NP (PRP me)) (PP (IN in) (NP (RB there)))) (ADVP (RB now)) (VP (MD will))))))) (NP (PRP you)) (. ?)))"
